Strategy,Category,Moneyness,Expiry,Total_Costs_EUR,Final_PnL_EUR,PnL_Volatility,Num_Trades,Trade_Freq_Pct,Delta_Tracking_Error,Ticks
Whalley,Lungo_Termine,ITM,2025-07-18,43.87476712493057,-125.96908355955838,0.46266424011354834,3474,3.9914059537897675,0.0069770394301253745,87037
Custom_Adaptive,Lungo_Termine,ITM,2025-07-31,16.776407053491827,-2.1550709800267214,0.22259671072257214,51,0.1747532894736842,0.0033961115323335542,29184
Whalley,Lungo_Termine,ITM,2025-07-31,14.997370008739823,-2.9139705043462527,0.21840903065502812,781,2.676123903508772,0.005132993012918804,29184
Custom_Adaptive,Lungo_Termine,ITM,2025-08-15,39.487381731172164,-76.55301795651121,0.48291391831334285,163,0.17686823858765827,0.012817106271474648,92159
Whalley,Lungo_Termine,ITM,2025-08-15,43.42179493201851,-128.53963228464727,0.46004590831523823,3474,3.7695721524756127,0.006571819315016336,92159
Custom_Adaptive,Lungo_Termine,ITM,2025-08-29,17.788576902640777,9.575074362285704,0.24636350486515482,52,0.17212843429328037,0.004103679231870666,30210
Whalley,Lungo_Termine,ITM,2025-08-29,14.920251446064013,14.358212118018855,0.24508806155559043,997,3.3002317113538564,0.0052153852712980035,30210
Custom_Adaptive,Lungo_Termine,ITM,2025-09-19,43.88021155838266,-92.48302670515432,0.4364856879611538,189,0.16933207902163688,0.011393216339554582,111615
Whalley,Lungo_Termine,ITM,2025-09-19,45.803404881629874,-136.74409854154555,0.4206664759123795,4215,3.7763741432603144,0.006664107175089431,111615
Custom_Adaptive,Lungo_Termine,ITM,2025-09-30,17.45605292015659,-23.1621700419837,0.24061305810930744,54,0.1728885189216879,0.004224507213714125,31234
Whalley,Lungo_Termine,ITM,2025-09-30,14.416411303525278,-16.474137769272602,0.23971979127341608,1182,3.7843375808413913,0.0048383724722151755,31234
Custom_Adaptive,Lungo_Termine,ITM,2025-10-17,43.2568272526046,-99.4847436181804,0.4219791688381182,186,0.16588036993106153,0.01048098133320783,112129
Whalley,Lungo_Termine,ITM,2025-10-17,39.71475142855225,-112.79632582471919,0.4101221245452101,3789,3.379143664885979,0.006228001235013886,112129
Custom_Adaptive,Lungo_Termine,OTM,2025-05-16,53.701645923636086,-124.39911422772592,0.5161565097774656,118,0.18292021268350153,0.025937382584725513,64509
Whalley,Lungo_Termine,OTM,2025-05-16,70.99190380832891,-200.72934649560125,0.4863883835775166,3176,4.9233440295152615,0.011814039105873194,64509
Custom_Adaptive,Lungo_Termine,OTM,2025-05-30,13.736698434715606,-36.45601772743021,0.26051328582509337,19,0.21824029405008039,0.016413239875770192,8706
Whalley,Lungo_Termine,OTM,2025-05-30,15.319632912378125,-47.324509503246645,0.24990144585705185,405,4.6519641626464505,0.012405907966817413,8706
Custom_Adaptive,Lungo_Termine,OTM,2025-06-20,51.09618812506994,-81.46639084022648,0.46937299619429745,132,0.17659099118382854,0.021234881789208158,74749
Whalley,Lungo_Termine,OTM,2025-06-20,64.58278487337473,-151.42391821677165,0.42652182078048045,3426,4.583338907543913,0.010784953466887546,74749
